iter	Passed	Remaining
645	2312	1266
646	2314	1262
647	2316	1258
648	2318	1253
649	2320	1249
650	2322	1245
651	2325	1240
652	2328	1237
653	2330	1232
654	2332	1228
655	2334	1224
656	2337	1220
657	2339	1216
658	2343	1212
659	2346	1208
660	2348	1204
661	2351	1200
662	2354	1196
663	2359	1193
664	2361	1189
665	2364	1185
666	2367	1181
667	2369	1177
668	2373	1174
669	2376	1170
670	2379	1166
671	2381	1162
672	2384	1158
673	2386	1154
674	2390	1150
675	2392	1146
676	2395	1142
677	2398	1138
678	2406	1137
679	2408	1133
680	2411	1129
681	2413	1125
682	2416	1121
683	2420	1118
684	2422	1114
685	2425	1110
686	2428	1106
687	2430	1102
688	2433	1098
689	2436	1094
690	2438	1090
691	2441	1086
692	2444	1082
693	2447	1078
694	2451	1076
695	2453	1071
696	2455	1067
697	2457	1063
698	2459	1059
699	2461	1055
700	2466	1052
701	2468	1047
702	2470	1043
703	2472	1039
704	2474	1035
705	2476	1031
706	2480	1028
707	2483	1024
708	2485	1020
709	2488	1016
710	2490	1012
711	2493	1008
712	2496	1005
713	2499	1001
714	2502	997
715	2504	993
716	2507	989
717	2511	986
718	2514	982
719	2517	978
720	2519	974
721	2523	971
722	2526	967
723	2528	964
724	2531	960
725	2534	956
726	2537	952
727	2542	949
728	2545	946
729	2548	942
730	2550	938
731	2553	934
732	2556	931
733	2559	927
734	2561	923
735	2564	919
736	2567	916
737	2569	912
738	2573	908
739	2575	905
740	2578	901
741	2581	897
742	2583	893
743	2590	891
744	2593	887
745	2595	883
746	2597	879
747	2599	875
748	2602	872
749	2605	868
750	2607	864
751	2609	860
752	2611	856
753	2613	852
754	2615	848
755	2619	845
756	2622	841
757	2624	837
758	2627	834
759	2629	830
760	2633	826
761	2635	823
762	2638	819
763	2641	815
764	2644	812
765	2646	808
766	2650	805
767	2653	801
768	2655	797
769	2658	794
770	2661	790
771	2664	786
772	2667	783
773	2669	779
774	2675	776
775	2678	773
776	2681	769
777	2683	765
778	2686	762
779	2689	758
780	2691	754
781	2695	751
782	2698	747
783	2700	744
784	2703	740
785	2705	736
786	2708	733
787	2711	729
788	2714	725
789	2716	722
790	2719	718
791	2721	714
792	2724	711
793	2727	707
794	2729	703
795	2732	700
796	2735	696
797	2738	693
798	2742	689
799	2744	686
800	2746	682
801	2749	678
802	2752	675
803	2755	671
804	2757	668
805	2760	664
806	2762	660
807	2765	657
808	2768	653
809	2771	649
810	2773	646
811	2776	642
812	2790	641
813	2793	638
814	2796	634
815	2809	633
816	2811	629
817	2814	626
818	2820	623
819	2823	619
820	2826	616
821	2829	612
822	2834	609
823	2861	611
824	2868	608
825	2872	605
826	2874	601
827	2877	597
828	2879	594
829	2883	590
830	2887	587
831	2890	583
832	2893	580
833	2919	581
834	2922	577
835	2924	573
836	2927	570
837	2931	566
838	2933	563
839	2936	559
840	2939	555
841	2941	552
842	2944	548
843	2947	544
844	2956	542
845	2959	538
846	2963	535
847	2996	537
848	2998	533
849	3001	529
850	3004	526
851	3006	522
852	3010	518
853	3012	515
854	3015	511
855	3017	507
856	3020	504
857	3028	501
858	3030	497
859	3033	493
860	3036	490
861	3044	487
862	3047	483
863	3049	480
864	3052	476
865	3057	473
866	3060	469
867	3063	465
868	3066	462
869	3069	458
870	3073	455
871	3076	451
872	3114	453
873	3117	449
874	3120	445
875	3123	442
876	3125	438
877	3128	434
878	3133	431
879	3137	427
880	3140	424
881	3143	420
882	3148	417
883	3151	413
884	3154	409
885	3161	406
886	3169	403
887	3172	400
888	3175	396
889	3177	392
890	3180	389
891	3183	385
892	3186	381
893	3204	379
894	3206	376
895	3210	372
896	3215	369
897	3219	365
898	3221	361
899	3224	358
900	3227	354
901	3230	350
902	3233	347
903	3235	343
904	3243	340
905	3246	336
906	3248	333
907	3257	330
908	3260	326
909	3262	322
910	3265	319
911	3268	315
912	3272	311
913	3275	308
914	3277	304
915	3280	300
916	3282	297
917	3287	293
918	3297	290
919	3299	286
920	3303	283
921	3305	279
922	3308	275
923	3310	272
924	3313	268
925	3316	265
926	3320	261
927	3322	257
928	3325	254
929	3330	250
930	3334	247
931	3336	243
932	3339	239
933	3342	236
934	3344	232
935	3347	228
936	3350	225
937	3353	221
938	3356	218
939	3358	214
940	3372	211
941	3375	207
942	3377	204
943	3380	200
944	3383	196
945	3386	193
946	3389	189
947	3392	186
948	3397	182
949	3400	178
950	3403	175
951	3405	171
952	3410	168
953	3413	164
954	3415	160
955	3418	157
956	3420	153
957	3424	150
958	3428	146
959	3430	142
960	3433	139
961	3445	136
962	3447	132
963	3450	128
964	3452	125
965	3456	121
966	3458	118
967	3461	114
968	3463	110
969	3466	107
970	3470	103
971	3473	100
972	3488	96
973	3491	93
974	3493	89
975	3497	86
976	3501	82
977	3503	78
978	3506	75
979	3508	71
980	3511	68
981	3513	64
982	3517	60
983	3519	57
984	3522	53
985	3525	50
986	3534	46
987	3536	42
988	3539	39
989	3542	35
990	3544	32
991	3547	28
992	3549	25
993	3554	21
994	3558	17
995	3562	14
996	3567	10
997	3569	7
998	3572	3
999	3575	0
